DateID;Realized Variance (5-minute)
20000103;0.000403564637946461
20000104;0.000436002420137178
20000105;0.000694515637107027
20000106;0.000435912066160297
20000107;0.000296856556627378
20000110;0.00015166103879322
20000111;0.000252425237892074
20000112;0.000495366725641687
20000113;0.000239903788369398
20000114;0.000146726074077047
20000117;
20000118;9.43516054522746E-05
20000119;0.000150566599341435
20000120;0.000156825523868624
20000121;8.0117396615174E-05
20000124;0.000242199055491477
20000125;0.000564968946605633
20000126;0.000161629766327933
20000127;0.000259558621928573
20000128;0.000405571466801985
20000131;0.000471338454190411
20000201;0.000199721212958894
20000202;0.000233154690121438
20000203;0.000209456314968239
20000204;0.000105499583876996
20000207;0.000115324740911612
20000208;6.6326187847095E-05
20000209;0.000152532462356674
20000210;0.000150807281085019
20000211;0.000169792314940116
20000214;0.000181448954753187
20000215;0.000255885413818793
20000216;0.000139020143015754
20000217;0.000149647221795639
20000218;0.000412321672215987
20000221;
20000222;0.000319475105742659
20000223;0.000137042055454307
20000224;0.000481406563622555
20000225;0.000251052433539964
20000228;0.00030489909990115
20000229;9.19398609006286E-05
20000301;0.000149367885667439
20000302;0.000214201087071269
20000303;9.51629601246448E-05
20000306;0.000156869928748616
20000307;0.000405365940476982
20000308;0.000374986589465676
20000309;0.000210002034890578
20000310;0.00021370513942049
20000313;0.000399354988633167
20000314;0.000341916093623052
20000315;0.000615526513492577
20000316;0.000632066262779807
20000317;
20000320;0.000188868990484812
20000321;0.000571020116765418
20000322;0.00022278404169277
20000323;0.000178659205761196
20000324;0.000290986434524702
20000327;0.000150376300767902
20000328;
20000329;0.000495815933861316
20000330;0.000839609416265864
20000331;0.000849233411541758
20000403;0.000822659859484265
20000404;0.00430134927239825
20000405;0.00158963156719085
20000406;0.000345566064465206
20000407;0.000167375131689637
20000410;0.000556586999423649
20000411;0.00128044706136064
20000412;0.000625547072883381
20000413;0.00164895051791439
20000414;0.00307449786435851
20000417;0.00261933117898177
20000418;0.000741698357912581
20000419;0.000767173918933361
20000420;0.00038304218936491
20000421;
20000424;0.00085739939229806
20000425;0.000440235502496514
20000426;0.000560325403278449
20000427;0.000953778598768728
20000428;0.000287921474329682
20000501;0.000250879169220605
20000502;0.000243452465285151
20000503;0.000765535639493002
20000504;0.000435434982673752
20000505;0.000303778847000964
20000508;0.00026167552790855
20000509;0.000372039471927047
20000510;0.000694563383146621
20000511;0.00049819075134454
20000512;0.000251582631764258
20000515;0.000380739544297651
20000516;0.000517372913150945
20000517;0.000247732869080426
20000518;0.00021025529223283
20000519;0.000382105873512749
20000522;0.00143609786112409
20000523;0.000883287276254338
20000524;0.00165470847721298
20000525;0.000756419695924207
20000526;0.000786652266123102
20000529;
20000530;0.000264620942296541
20000531;0.000683034465455904
20000601;0.000361148538754528
20000602;0.000198397645041507
20000605;0.000382705247374355
20000606;0.000324156429822128
20000607;0.000387664122368916
20000608;0.000243031914417719
20000609;0.000119549807807419
20000612;0.000274023473956965
20000613;0.000278735867928681
20000614;0.00027610656762393
20000615;0.000227433992752053
20000616;0.000168501271584758
20000619;0.000151707499497783
20000620;0.000222765626069041
20000621;0.000184146043019358
20000622;0.000259669457406568
20000623;0.000298218319511395
20000626;0.000220177232892941
20000627;0.000165089596282005
20000628;0.000192366503989989
20000629;0.000287920481812624
20000630;0.000129687255316544
20000703;
20000704;
20000705;0.000144190975353303
20000706;0.000196280456832375
20000707;0.000111287198644857
20000710;0.000114674523574981
20000711;0.000245833592358452
20000712;9.52561543367806E-05
20000713;0.000128673560318237
20000714;0.000106483443341525
20000717;8.89189695787079E-05
20000718;0.000124061478988572
20000719;0.000156912305619371
20000720;0.000159240014003489
20000721;0.000119216300192222
20000724;0.000219136040666275
20000725;0.000248765348499263
20000726;0.000224221528632909
20000727;0.000415700689063401
20000728;0.000632621133669443
20000731;0.000424905332704879
20000801;0.000268789712352574
20000802;0.000311979902118698
20000803;0.000554531576786953
20000804;0.000279670501646297
20000807;0.000165805802848621
20000808;0.000113732351081196
20000809;0.00014158805899998
20000810;0.000158549386329196
20000811;0.000194518910116985
20000814;9.8071392001508E-05
20000815;0.000131287820649374
20000816;0.000126439183884937
20000817;0.000109940089962377
20000818;0.000115691875825948
20000821;0.00013228492348392
20000822;0.00011860408634341
20000823;0.000104771059383448
20000824;8.1354233936907E-05
20000825;9.27431571271264E-05
20000828;7.18219886277529E-05
20000829;8.30530889164444E-05
20000830;5.49109365461042E-05
20000831;5.46437808591807E-05
20000901;0.00010374879294755
20000904;
20000905;0.000100975117378762
20000906;0.00015113537232045
20000907;0.000133024906943783
20000908;0.000174290730685699
20000911;0.000315312904189557
20000912;0.000214807023359749
20000913;0.000397978279194302
20000914;0.000185466045993548
20000915;0.000245404194220689
20000918;0.00040440150617739
20000919;0.000264562564107439
20000920;0.000371669991987124
20000921;0.000256479874458649
20000922;0.000347355520302836
20000925;0.000172859729206361
20000926;0.000479629592825734
20000927;0.000444623559663045
20000928;0.000305467530999545
20000929;0.000277262208347893
20001002;0.000372364151116605
20001003;0.000466578866533637
20001004;0.000823076621951193
20001005;0.000417166961648667
20001006;0.000564042329765817
20001009;0.000557379657049116
20001010;0.000561867093984461
20001011;0.00121470224434086
